Company,Table,Machine_1,Machine_2,Machine_3
Motan GmbH,AKTIVA,349,700,
HOSCH Foerdertechnik Recklinghausen GmbH,Unknown Table,93974,102983,
Hutchinson Stop-Choc GmbH & Co. KG,Aktiva,2180916,2519,
bavius technologie gmbh,Aktiva,2846518,85446,
Waechter Packautomatik GmbH & Co. KG,Aktiva,589038,571716,
Mogatec GmbH,Aktiva,4164958,2678949,
Karl Heesemann Maschinenfabrik GmbH & Co. KG,AKTIVA,140668,114365,
AMADA GmbH,AKTIVA,215820,295047,
LIFTKET Hoffmann GmbH,Aktiva,3093292,4214841,
Zeltwanger Maschinenbau GmbH,Aktiva,569919,476313,
Scheppach GmbH,Aktiva,1888879,1458558,
Ritter Leichtmetallguss GmbH,AKTIVA,3364975,2162182,
Christ Packing Systems GmbH & Co. KG,Gesonderte Bilanzpostenangaben nach § 327 HGB,1202215,1534280,
SD Automotive GmbH,Aktiva,1799591,2732554,
Heller Tools GmbH,AKTIVA,1844253,1840625,
HAeNSEL Processing GmbH,AKTIVA,325973,178844,
Hans Schroeder Maschinenbau GmbH,Aktiva,1185856,600227,
Hofmann Mess- und Auswuchttechnik,Aktiva,117823,134907,
Lapmaster Wolters GmbH,AKTIVA,1164493,1027615,
Steinbach & Vollmann GmbH,AKTIVA,157546,233232,
MWS Schneidwerkzeuge GmbH & Co KG,Aktiva,4208102,4081231,
Schnupp GmbH & Co. Hydraulik KG,Aktiva,1706628,2158331,
Herbert Arnold GmbH & Co. KG,Aktiva,568515,655809,
Starcke GmbH & Co. KG,AKTIVA,6290840,6396,
ROMACO Pharmatechnik GmbH,Aktiva,824227,861295,
Heinz & Feld Sondermaschinenbau GmbH,Aktiva,440986,643569,
Schleuniger GmbH,Aktiva,36464,30394,
Alfred Jaeger GmbH,AKTIVA,452801,604216,
Ervin Germany GmbH,Unknown Table,2,10530164,10476684
TEXPA Maschinenbau GmbH & Co. KG,Aktiva,214969,143,
LINCOLN ELECTRIC DEUTSCHLAND GmbH,Aktiva,6889675,7771442,
HAeNDLE GmbH Maschinen und Anlagenbau,Aktiva,799095,1068479,
ABP Induction Systems GmbH,AKTIVA,338108,394125,
Presswerkzeugbau Grossdubrau GmbH,Aktiva,3286029,2824117,
Altrad Lescha Atika GmbH,AKTIVA,210143,234316,
DWK Drahtwerk Koeln GmbH,Nachtragsbericht,5164318,6161527,
MARPOSS GmbH,Aktiva,142157,20470,
Sumitomo Electric Hartmetallfabrik GmbH,Aktiva,6977984,8231064,
TKR Spezialwerkzeuge GmbH,Aktiva,735260,1248301,
ADGA - Adolf Gampper GmbH,AKTIVSEITE,6858806,7725,
