company name,location
BAA Boysen Abgassysteme Achim GmbH & Co. KG,Achim
BAP Boysen Abgassysteme Plauen GmbH Co. & KG,Plauen
Metallgießerei Schüle GmbH,Sersheim
Schäfer-Oesterle GmbH,Würzburg
HJS Emission Technology GmbH & Co. KG,Menden (Sauerland)
Dr. Haubitz GmbH & Co. KG,Solingen
HUGO SCHNIPPERING,Kierspe
Haldex GmbH,Heidelberg
Sumitomo Electric Bordnetze SE,Wolfsburg
Auto-Kabel Management GmbH,Hausen im Wiesental
Bock GmbH,Frickenhausen
Schürholz GmbH & Co. KG Stanztechnik,Plettenberg
Karl Etzel GmbH,Mühlacker
Flex Automotive GmbH,Filderstadt
Hammerwerk Fridingen GmbH,Fridingen an der Donau
Schweikert GmbH,Lehrensteinsfeld
ZMT Automotive GmbH & Co. KG,Bruck in der Oberpfalz
Hanomag Aluminium Solutions GmbH,Baunatal
PE Automotive GmbH & Co. KG,Wuppertal
Audi Electronics Venture GmbH,Gaimersheim
RMA-TSK-Kunststoffsysteme GmbH & Co KG,Sömmerda
Senior Flexonics GmbH,Kassel
Hi-Lex Europe GmbH,Schweinfurt
Westfalia-Automotive GmbH,Rheda-Wiedenbrück
NOFFZ Technologies GmbH,Tönisvorst
APCB Automotive Plastic Components,Berlin
Gubesch GmbH,Wilhelmsdorf
Gentherm Präzision SE,Treuchtlingen
Gentherm GmbH,Odelzhausen
Panne Gitterroste GmbH,Greifenstein
Franz Kiel GmbH,Nördlingen
Alhorn GmbH & Co. KG,Lübbecke
Saint-Gobain Performance Plastics,Willich
Accuride Wheels Ebersbach GmbH,Ebersbach an der Fils
PPG Hemmelrath Lackfabrik GmbH,Klingenberg am Main
KACO GmbH + Co. KG,Kirchardt
Veigel GmbH + Co. KG,Öhringen
SUSPA GmbH,Altdorf bei Nürnberg
EBG schroeder GmbH,Kierspe
MicroFuzzy Industrie-Elektronic GmbH,München
Haartz GmbH,Mannheim
Trompetter Guss GmbH & Co. KG,Bindlach
freeglass GmbH & Co. KG,Schwaikheim
Credo-Serve GmbH,Waiblingen
KYB Europe GmbH,Aschheim
KMS Gesenkschmiede GmbH,Solingen
Optibelt GmbH,Höxter
SCHRAMM Coatings GmbH,Offenbach am Main
