company name,location
Eltroplan Engineering GmbH,Endingen am Kaiserstuhl
Ernst Heitland GmbH & Co. KG,Solingen
Lorenz Messtechnik GmbH,Alfdorf
Spherea GmbH,Ulm
KAUFBEURER MIKROSYSTEME WIEDEMANN GmbH,Kaufbeuren
ETO SENSORIC GmbH,Nürnberg
comemso GmbH,Ostfildern
Vogt Ultrasonics GmbH,Burgwedel
INTRA-AUTOMATION GmbH,Grevenbroich
JOMESA Meßsysteme GmbH,Ismaning
Gebr. Liebisch GmbH & Co. KG,Bielefeld
OCTUM GmbH,Ilsfeld
Orben Wasseraufbereitung GmbH & Co. KG,Wiesbaden
UNISENSOR Sensorsysteme GmbH,Karlsruhe
TSI GmbH,Aachen
Teledyne GmbH,Heidelberg
Schütz GmbH Messtechnik,Lahr/Schwarzwald
DZG Metering GmbH,Oranienburg
Meter Group AG,München
FRANK-PTI GmbH,Birkenau im Odenwald
Krick Meßtechnik & Partner GmbH & Co. KG,Langenselbold
MLS Lanny Produktions GmbH,Bad Wildbad
SAFETYTEST GmbH,Hirschaid
