Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
Schmack Biogas GmbH,https://www.schmack-biogas.com/,Schwandorf,29404.0,No Match
Bühler GmbH,https://www.buhlergroup.com/global/de/homepage.html,Beilngries,4156625.0,120-200
WEHRLE-WERK AG,https://www.wehrle-werk.de/,Emmendingen,3282430.0,120-200
psb intralogistics GmbH,https://www.psb-gmbh.de/,Pirmasens,2739973.0,120-200
SVT GmbH,https://www.svt-gmbh.com/,Schwelm,149663.0,No Match
TRANSNORM SYSTEM GmbH,https://sps.honeywell.com/us/en/products/automation/transnorm,Harsum,263452.0,No Match
Bühler GmbH,https://www.buhlergroup.com/global/en/process-technologies/Moulding-and-Forming.html,Reichshof,4156625.0,120-200
Bernd Münstermann GmbH & Co. KG,https://www.muenstermann.com/de/,Telgte,1229320.0,40-60
TSG Deutschland GmbH & Co. KG,https://www.tsg-solutions.com/de/,Halle (Saale),75074.0,No Match
Gerd Bär GmbH,https://www.baer-cargolift.com/home/,Heilbronn,2556121.0,120-200
VWH GmbH,https://www.vwh.de/start.html,Herschbach,583926.0,10-15
Keil Anlagenbau GmbH & Co. KG,https://www.keil-anlagenbau.de/,Bohmte,136179.0,No Match
SAR Elektronic GmbH,http://www.sar.biz/,Dingolfing,670165.0,10-15
Sesotec GmbH,https://www.sesotec.com/emea/de,Schönberg,632212.0,10-15
API Schmidt-Bretten GmbH & Co. KG,https://www.apischmidt-bretten.de/,Bretten,577241.0,10-15
SINGLE Temperiertechnik GmbH,https://single-temp.com/,Hochdorf,76767.0,No Match
Inductoheat Europe GmbH,https://inductoheat.eu/,Reichenbach an der Fils,1080041.0,21-40
Binder GmbH,https://www.binder-world.com/de-de/,Tuttlingen,713923.0,15-20
Vollert Anlagenbau GmbH,https://www.vollert.de/de/home,Weinsberg,1358646.0,40-60
TSUBAKI KABELSCHLEPP GmbH,https://tsubaki-kabelschlepp.com/de-de/,Wenden,2444958.0,80-120
Dr. Diestel GmbH,https://www.dr-diestel.de/,Rostock,118150.0,No Match
b+m surface systems GmbH,https://www.bm-systems.com/de/,Eiterfeld,58770.0,No Match
Suma Rührtechnik GmbH,https://www.suma.de,Sulzberg,84989.0,No Match
Lukas Anlagenbau GmbH,https://lukas-anlagenbau.de/,Waldthurn,508557.0,10-15
PURPLAN GmbH,https://www.purplan.com/de,Wallenhorst,267548.0,No Match
EFD Induction GmbH,https://www.enrx.com/,Freiburg im Breisgau,265404.0,No Match
Hubert Eing Kunststoffverwertung GmbH,https://www.eing.info/,Gescher,6487658.0,200-350
INFASTAUB GmbH,https://www.infastaub.de/home/,Bad Homburg v. d. Höhe,26059.0,No Match
W & Z Rohrsystem-Technik GmbH,https://www.rohrsystemtechnik.de/de/,Netphen,165967.0,No Match
SERVOLIFT GmbH,https://www.servolift.de/de/,Offenburg,285693.0,No Match
EMDE Industrie-Technik GmbH,https://www.emde.de/,Nassau,3138167.0,120-200
Kliewe GmbH,https://www.kliewe.de/,Hamburg,308944.0,10-15
thermofin GmbH,https://www.thermofin.de/,Heinsdorfergrund,6912888.0,200-350
thermowave Gesellschaft,https://www.thermowave.de/,Berga,1316288.0,40-60
Hedemann Technik GmbH,https://www.hedemann-technik.de/,Westerstede,240130.0,No Match
Swisslog Healthcare GmbH,https://www.swisslog.com/,Westerstede,128128.0,No Match
Brunnhuber Krane GmbH,https://www.brunnhuber.de/,Augsburg,228456.0,No Match
Maschinen- und Stahlbau,https://www.lippert.de/,Pressath,433044.0,10-15
WERO-Rohrleitungsbau,https://www.wero-thyrnau.de/,Thyrnau,768403.0,15-20
Sempa Systems GmbH,https://sempa.de/de/,Dresden,1428260.0,40-60
Kramer & Best Anlagenbau GmbH,https://www.kramerbest.com/,Dörth,240983.0,No Match
A S T GmbH,https://astgroup.de/,Lampertheim,35625.0,No Match
FUNKE Wärmeaustauscher Apparatebau GmbH,https://www.funke.de/de/,Gronau (Leine),1122681.0,21-40
Mauell GmbH,https://www.mauell.com/,Velbert,255353.0,No Match
Hof Sonderanlagenbau GmbH,https://www.hof-sonderanlagen.de/,Lohra,2118592.0,80-120
RIKUTEC Richter,https://www.rikutec.de/,Altenkirchen (Westerwald),2690202.0,120-200
Bühler GmbH,http://www.buhlergroup.com/,Braunschweig,4156625.0,120-200
Mack Rides GmbH & Co KG,https://mack-rides.com/?lang=de,Waldkirch,9125040.0,200-350
IDS-Industrieservice Anlagenbau GmbH,https://ids-ob.com/de/,Oberhausen,29169.0,No Match
Jünger+Gräter GmbH,https://www.jg-refractories.com/de/,Schwetzingen,29574.0,No Match
Puerstinger High Purity Systems GmbH,https://www.puerstinger.de/,Burghausen,458047.0,10-15
I N T E C Engineering GmbH,https://www.intec-energy.com/,Bruchsal,39127.0,No Match
Rudnick & Enners,https://www.rudnick-enners.com/,Alpenrod,2137336.0,80-120
Harald Liebers Behälter-Apparatebau GmbH,https://www.liebers-behaelterbau.de/de/,Chemnitz,1626978.0,60-80
Rump Strahlanlagen GmbH & Co. KG,http://www.rump.de/,Salzkotten,402984.0,10-15
NEUERO Industrietechnik für Förderanlagen,https://neuero.de/,Melle,940156.0,21-40
AAR GmbH Brauer und Wolter,https://www.aar-montagen.com/de/,Magdeburg,248777.0,No Match
Cantec GmbH & Co. KG,https://www.soudronic.com/,Essen,344898.0,10-15
FST Industrie GmbH,https://www.fst-industrie.de/de_startseite.html,Berlin,2315661.0,80-120
MBA Anlagenbau GmbH,https://www.mba-nb.de/,Neubrandenburg,65408.0,No Match
COMBITHERM,https://www.combitherm.de/,Fellbach,163939.0,No Match
Ebner GmbH & Co. KG Anlagen und Apparate,https://ebner-co.de/de/home/,Eiterfeld,491809.0,10-15
Schmidt & Heinzmann GmbH & Co. KG,https://schmidt-heinzmann.de/,Bruchsal,1040260.0,21-40
STF Maschinen- und Anlagenbau GmbH,https://www.stf-group.de/,Aicha vorm Wald,9510644.0,200-350
KMU LOFT Cleanwater GmbH,https://www.kmu-loft.de/,Kirchentellinsfurt,167314.0,No Match
Sehon innovative Lackieranlagen GmbH,https://www.sehon-lackieranlagen.de/,Gechingen,204008.0,No Match
Europress Umwelttechnik GmbH,https://www.europress-umwelttechnik.de/,Lathen,107804.0,No Match
Zemmler Siebanlagen GmbH,https://www.zemmler.de/de/,Massen-Niederlausitz,303178.0,10-15
BV Anlagenbau GmbH,https://www.bv-anlagenbau.de/de/,Salzbergen,364613.0,10-15
Biogas Service Tarmstedt GmbH,http://www.bs-tarmstedt.de,Westertimke,70203.0,No Match
Westinghouse Electric Germany GmbH,https://www.westinghousenuclear.com/,Mannheim,897338.0,15-20
